topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Water Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(100,0)""><text x=""40"" y=""30"" font-size=""24"" fill=""black"" text-anchor=""middle"" dominant-baseline=""middle"">A</text></g><line x1=""120"" y1=""45"" x2=""160"" y2=""45"" stroke=""blue"" stroke-width=""2""/><g transform=""translate(100,20)""><rect x=""20"" y=""30"" width=""40"" height=""40"" fill=""#eee"" stroke=""black"" stroke-width=""2"" stroke-dasharray=""4,2""/><text x=""40"" y=""54"" font-size=""18"" text-anchor=""middle"" fill=""#333"">?</text></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Water Image Q13: Identify the correct water image (vertical reflection) of the top figure.</p>",Option A (Vertical Flip),Option B (Horizontal Flip),Option C (90 deg Rotation),Option D (No change),A,"A water image is a reflection across a horizontal axis, effectively flipping the object upside down.",Medium
Water Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(100,0)""><polygon points=""40,20 20,40 60,40"" fill=""white"" stroke=""black"" stroke-width=""2""/></g><line x1=""120"" y1=""45"" x2=""160"" y2=""45"" stroke=""blue"" stroke-width=""2""/><g transform=""translate(100,20)""><rect x=""20"" y=""30"" width=""40"" height=""40"" fill=""#eee"" stroke=""black"" stroke-width=""2"" stroke-dasharray=""4,2""/><text x=""40"" y=""54"" font-size=""18"" text-anchor=""middle"" fill=""#333"">?</text></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Water Image Q14: Identify the correct water image (vertical reflection) of the top figure.</p>",Option A (Vertical Flip),Option B (Horizontal Flip),Option C (90 deg Rotation),Option D (No change),A,"A water image is a reflection across a horizontal axis, effectively flipping the object upside down.",Medium
Water Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(100,0)""><text x=""40"" y=""30"" font-size=""24"" fill=""black"" text-anchor=""middle"" dominant-baseline=""middle"">A</text></g><line x1=""120"" y1=""45"" x2=""160"" y2=""45"" stroke=""blue"" stroke-width=""2""/><g transform=""translate(100,20)""><rect x=""20"" y=""30"" width=""40"" height=""40"" fill=""#eee"" stroke=""black"" stroke-width=""2"" stroke-dasharray=""4,2""/><text x=""40"" y=""54"" font-size=""18"" text-anchor=""middle"" fill=""#333"">?</text></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Water Image Q15: Identify the correct water image (vertical reflection) of the top figure.</p>",Option A (Vertical Flip),Option B (Horizontal Flip),Option C (90 deg Rotation),Option D (No change),A,"A water image is a reflection across a horizontal axis, effectively flipping the object upside down.",Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q1: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q2: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q3: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q4: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q5: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q6: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q7: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q8: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q9: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q10: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q11: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q12: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q13: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q14: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Pattern Completion,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><rect x=""20"" y=""10"" width=""60"" height=""60"" fill=""white"" stroke=""black""/><line x1=""20"" y1=""10"" x2=""80"" y2=""70"" stroke=""black""/><line x1=""20"" y1=""70"" x2=""50"" y2=""40"" stroke=""black""/><rect x=""50"" y=""40"" width=""30"" height=""30"" fill=""#eee"" stroke=""red"" stroke-dasharray=""2""/><text x=""65"" y=""55"" font-size=""12"" fill=""red"">?</text><text x=""180"" y=""40"" font-size=""14"">Complete the square</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Pattern Completion Q15: Which figure from the options will complete the missing part of the pattern?</p>",Option A,Option B,Option C,Option D,A,The missing piece must continue the lines and symmetry of the existing pattern.,Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q1: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q2: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q3: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q4: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q5: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q6: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q7: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q8: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q9: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q10: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q11: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q12: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
